1855,118.354266961354
1856,118.222885517142
1857,118.084216772543
1858,117.937896826923
1859,117.783568585795
1860,117.620885552729
1861,117.449515984249
1862,117.269147391151
1863,117.07949135875
1864,116.88028864639
1865,116.671314513316
1866,116.452384203879
1867,116.223358510634
1868,115.98414931941
1869,115.734725026768
1870,115.475115707816
1871,115.205417902148
1872,114.925798878215
1873,114.636500232764
1874,114.337840682601
1875,114.030217911595
1876,113.714109346884
1877,113.390071754978
1878,113.058739570691
1879,112.720821899388
1880,112.377098165011
1881,112.028412411934
1882,111.675666306548
1883,111.319810923039
1884,110.961837435608
1885,110.602766874569
1886,110.24363913487
1887,109.885501451087
1888,109.529396571786
1889,109.176350877398
1890,108.827362689188
1891,108.483391012297
1892,108.145344943895
1893,107.814073958726
1894,107.490359260019
1895,107.174906355017
1896,106.86833898269
1897,106.571194487839
1898,106.283920702057
1899,106.006874358975
1900,105.740321039817
1901,105.484436616025
1902,105.239310129162
1903,105.004948024499
1904,104.78127963365
1905,104.568163783276
1906,104.365396390809
1907,104.17271889433
1908,103.989827351686
1909,103.816382033613
1910,103.652017326938
1911,103.496351756812
1912,103.348997931602
1913,103.20957221079
1914,103.07770389533
1915,102.953043741914
1916,102.835271607938
1917,102.724103043232
1918,102.619294658271
1919,102.52064811704
1920,102.428012626328
1921,102.341285821993
1922,102.260412986661
1923,102.185384571875
1924,102.116232040353
1925,102.053022089542
1926,101.995849364842
1927,101.944827818017
1928,101.900080911547
1929,101.861730910898
1930,101.829887541943
1931,101.804636317973
1932,101.786026858212
1933,101.774061526191
1934,101.768684710936
1935,101.769773056484
1936,101.777126916414
1937,101.790463270953
1938,101.809410296776
1939,101.833503726264
1940,101.862185076369
1941,101.894801770482
1942,101.930609122536
1943,101.96877410374
1944,102.008380770977
1945,102.048437203654
1946,102.087883773549
1947,102.125602560237
1948,102.160427722406
1949,102.191156641795
1950,102.216561669864
1951,102.235402325689
1952,102.246437814689
1953,102.248439759284
1954,102.240205052225
1955,102.220568759026
1956,102.18841700591
1957,102.142699792649
1958,102.082443664716
1959,102.006764166113
1960,101.914877973384
1961,101.806114583731
1962,101.679927397558
1963,101.535904000545
1964,101.373775415476
1965,101.19342406304
1966,100.994890147349
1967,100.778376169918
1968,100.544249278739
1969,100.293041179909
1970,100.025445379829
1971,99.7423115869532
1972,99.4446371823213
1973,99.1335557648428
1974,98.8103228859132
1975,98.4762992023094
1976,98.1329313891773
1977,97.7817312584909
1978,97.4242536150437
1979,97.0620734451547
1980,96.696763067797
1981,96.3298698809173
1982,95.9628953069212
1983,95.5972754827758
1984,95.2343641563405
1985,94.8754181475801
1986,94.5215856185754
1987,94.1738972774901
1988,93.8332605262846
1989,93.5004564564925
1990,93.1761395068792
1991,92.8608395247117
1992,92.5549659204082
1993,92.2588135735966
1994,91.9725701358547
1995,91.696324379333
1996,91.4300752581315
1997,91.1737413774391
1998,90.9271706007607
1999,90.6901495649949
2000,90.4624129140086
2001,90.2436521015032
2002,90.0335236517159
2003,89.8316568006953
2004,89.637660470826
2005,89.45112955665
2006,89.2716505208264
2007,89.0988063155204
2008,88.9321806569802
2009,88.7713616900325
2010,88.6159450851954
2011,88.4655366146033
2012,88.3197542544239
2013,88.1782298613909
2014,88.0406104698371
2015,87.906559253546
2016,87.775756194101
