1855,105.614106336175
1856,105.579829711345
1857,105.545513619943
1858,105.511158438837
1859,105.476764548051
1860,105.442332330747
1861,105.40786217321
1862,105.373354464826
1863,105.33880959807
1864,105.304227968483
1865,105.269609974655
1866,105.234956018202
1867,105.20026650375
1868,105.165541838911
1869,105.130782434262
1870,105.095988703325
1871,105.06116106254
1872,105.026299931246
1873,104.991405731656
1874,104.956478888832
1875,104.921519830659
1876,104.886528987823
1877,104.851506793781
1878,104.816453684738
1879,104.781370099618
1880,104.746256480036
1881,104.71111327027
1882,104.675940917235
1883,104.640739870449
1884,104.605510582006
1885,104.570253506546
1886,104.534969101224
1887,104.499657825676
1888,104.464320141991
1889,104.428956514676
1890,104.393567410624
1891,104.358153299079
1892,104.322714651605
1893,104.28725194205
1894,104.251765646509
1895,104.216256243294
1896,104.180724212891
1897,104.145170037931
1898,104.109594203146
1899,104.073997195338
1900,104.038379503337
1901,104.002741617966
1902,103.967084031999
1903,103.931407240125
1904,103.895711738906
1905,103.859998026739
1906,103.824266603815
1907,103.788517972079
1908,103.752752635186
1909,103.716971098464
1910,103.681173868868
1911,103.645361454941
1912,103.609534366769
1913,103.573693115938
1914,103.537838215493
1915,103.501970179892
1916,103.466089524963
1917,103.430196767861
1918,103.39429242702
1919,103.358377022109
1920,103.322451073991
1921,103.286515104673
1922,103.250569637259
1923,103.214615195909
1924,103.178652305789
1925,103.142681493027
1926,103.106703284662
1927,103.070718208602
1928,103.034726793572
1929,102.998729569072
1930,102.962727065324
1931,102.926719813228
1932,102.890708344311
1933,102.854693190682
1934,102.818674884981
1935,102.782653960331
1936,102.746630950292
1937,102.710606388808
1938,102.674580810163
1939,102.638554748928
1940,102.602528739914
1941,102.566503318121
1942,102.530479018694
1943,102.494456376867
1944,102.458435927918
1945,102.42241820712
1946,102.386403749687
1947,102.350393090731
1948,102.31438676521
1949,102.278385307878
1950,102.242389253234
1951,102.206399135479
1952,102.17041548846
1953,102.134438845626
1954,102.098469739974
1955,102.062508704005
1956,102.026556269672
1957,101.990612968333
1958,101.9546793307
1959,101.918755886794
1960,101.882843165892
1961,101.846941696484
1962,101.811052006219
1963,101.775174621865
1964,101.739310069251
1965,101.703458873229
1966,101.66762155762
1967,101.631798645173
1968,101.59599065751
1969,101.560198115088
1970,101.524421537144
1971,101.488661441658
1972,101.452918345299
1973,101.417192763383
1974,101.381485209828
1975,101.345796197107
1976,101.310126236206
1977,101.274475836575
1978,101.23884550609
1979,101.203235751003
1980,101.167647075902
1981,101.132079983668
1982,101.09653497543
1983,101.061012550525
1984,101.025513206453
1985,100.99003743884
1986,100.954585741391
1987,100.919158605853
1988,100.883756521974
1989,100.848379977461
1990,100.813029457943
1991,100.777705446929
1992,100.742408425773
1993,100.70713887363
1994,100.671897267425
1995,100.636684081808
1996,100.601499789125
1997,100.566344859376
1998,100.531219760178
1999,100.496124956735
2000,100.461060911799
2001,100.426028085637
2002,100.391026935994
2003,100.356057918063
2004,100.321121484452
2005,100.286218085148
2006,100.251348167488
2007,100.216512176127
2008,100.181710553005
2009,100.146943737321
2010,100.112212165499
2011,100.077516271158
2012,100.042856485089
2013,100.008233235221
2014,99.9736469465951
2015,99.9390980413388
2016,99.9045869386377
